Order ID,Revenue,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month,Year
B-26776,"$9,726","$1,275",5,Electronics,Electronic Games,UPI,6/27/2023,David Padilla,Florida,Miami,2023-06,2023
B-26776,"$9,726","$1,275",5,Electronics,Electronic Games,UPI,12/27/2024,Connor Morgan,Illinois,Chicago,2024-12,2024
B-26776,"$9,726","$1,275",5,Electronics,Electronic Games,UPI,7/25/2021,Robert Stone,New York,Buffalo,2021-07,2021
B-26776,"$4,975","$1,330",14,Electronics,Printers,UPI,6/27/2023,David Padilla,Florida,Miami,2023-06,2023
B-26776,"$4,975","$1,330",14,Electronics,Printers,UPI,12/27/2024,Connor Morgan,Illinois,Chicago,2024-12,2024
B-26776,"$4,975","$1,330",14,Electronics,Printers,UPI,7/25/2021,Robert Stone,New York,Buffalo,2021-07,2021
B-26942,"$1,525",$185,12,Office Supplies,Pens,Debit Card,5/11/2024,John Fields,Florida,Orlando,2024-05,2024
B-26942,"$1,525",$185,12,Office Supplies,Pens,Debit Card,10/9/2021,Clayton Smith,Florida,Miami,2021-10,2021
B-26640,$883,$117,10,Electronics,Laptops,EMI,11/18/2022,Richard Kelley,California,Los Angeles,2022-11,2022
B-26640,"$8,127","$3,551",16,Furniture,Tables,Credit Card,11/18/2022,Richard Kelley,California,Los Angeles,2022-11,2022
B-25890,"$2,516",$734,19,Furniture,Chairs,UPI,11/12/2023,Jacqueline Hubbard,New York,New York City,2023-11,2023
B-25102,"$2,975",$462,14,Office Supplies,Pens,Credit Card,3/23/2020,Jessica Anderson,New York,New York City,2020-03,2020
B-25426,"$6,851","$2,812",1,Office Supplies,Markers,Debit Card,5/4/2020,Mary Taylor,Florida,Orlando,2020-05,2020
B-25426,"$7,626","$1,046",15,Furniture,Sofas,Credit Card,5/4/2020,Mary Taylor,Florida,Orlando,2020-05,2020
B-25426,"$1,023",$78,9,Furniture,Tables,UPI,5/4/2020,Mary Taylor,Florida,Orlando,2020-05,2020
B-25238,"$7,600","$1,098",10,Office Supplies,Pens,UPI,11/9/2023,Walter Crawford,Illinois,Springfield,2023-11,2023
B-25238,"$7,501",$262,18,Office Supplies,Paper,COD,11/9/2023,Walter Crawford,Illinois,Springfield,2023-11,2023
B-25051,$725,$133,6,Office Supplies,Paper,Credit Card,12/30/2024,Lawrence Robinson,New York,Rochester,2024-12,2024
B-25051,"$7,201","$2,685",2,Furniture,Tables,Credit Card,12/30/2024,Lawrence Robinson,New York,Rochester,2024-12,2024
B-26510,"$1,629",$265,1,Office Supplies,Paper,UPI,2/11/2025,Douglas Pennington,Texas,Dallas,2025-02,2025
B-26510,"$1,629",$265,1,Office Supplies,Paper,UPI,1/23/2024,Ricardo Andrews,California,San Diego,2024-01,2024
B-25104,"$8,971","$2,971",19,Office Supplies,Binders,Debit Card,11/28/2020,Paul Raymond,California,San Diego,2020-11,2020
B-25104,"$2,939",$894,20,Office Supplies,Binders,COD,11/28/2020,Paul Raymond,California,San Diego,2020-11,2020
B-25553,"$9,380",$414,11,Electronics,Phones,UPI,5/30/2024,Karen Johnson,New York,Rochester,2024-05,2024
B-25553,"$8,558","$1,644",18,Office Supplies,Binders,Credit Card,5/30/2024,Karen Johnson,New York,Rochester,2024-05,2024
B-25553,"$4,080",$72,17,Office Supplies,Paper,COD,5/30/2024,Karen Johnson,New York,Rochester,2024-05,2024
B-26703,"$4,206","$1,821",17,Electronics,Electronic Games,EMI,1/23/2022,Juan Erickson,Texas,Austin,2022-01,2022
B-26232,"$5,219","$1,180",20,Office Supplies,Binders,COD,12/17/2021,Alexander Reed,New York,New York City,2021-12,2021
B-26232,"$5,219","$1,180",20,Office Supplies,Binders,COD,2/3/2023,Jacqueline Harris,California,San Francisco,2023-02,2023
B-25394,"$3,686",$760,20,Office Supplies,Pens,Debit Card,10/30/2022,Tyler Park,California,San Francisco,2022-10,2022
B-25394,"$3,686",$760,20,Office Supplies,Pens,Debit Card,1/15/2022,Richard Wolfe,Ohio,Columbus,2022-01,2022
B-26157,"$6,045","$1,606",4,Office Supplies,Paper,COD,12/14/2023,Sierra Rios,Florida,Orlando,2023-12,2023
B-26157,"$9,337",$554,11,Office Supplies,Pens,COD,12/14/2023,Sierra Rios,Florida,Orlando,2023-12,2023
B-25555,"$4,051","$1,848",12,Electronics,Phones,Credit Card,7/3/2023,Jessica Richardson,California,San Diego,2023-07,2023
B-25555,"$4,051","$1,848",12,Electronics,Phones,Credit Card,5/8/2021,Kimberly Warren,Ohio,Cincinnati,2021-05,2021
B-25555,"$5,011",$866,11,Furniture,Bookcases,Credit Card,7/3/2023,Jessica Richardson,California,San Diego,2023-07,2023
B-25555,"$5,011",$866,11,Furniture,Bookcases,Credit Card,5/8/2021,Kimberly Warren,Ohio,Cincinnati,2021-05,2021
B-26139,"$3,958",$630,15,Furniture,Sofas,EMI,10/7/2022,Casey Garcia,Florida,Orlando,2022-10,2022
B-26139,"$3,132",$963,1,Furniture,Tables,Debit Card,10/7/2022,Casey Garcia,Florida,Orlando,2022-10,2022
B-25032,"$7,784","$2,937",12,Office Supplies,Markers,UPI,8/6/2024,Denise Hampton,California,San Francisco,2024-08,2024
B-25032,"$5,591","$1,696",3,Office Supplies,Pens,COD,8/6/2024,Denise Hampton,California,San Francisco,2024-08,2024
B-25032,"$5,122","$2,413",12,Electronics,Electronic Games,COD,8/6/2024,Denise Hampton,California,San Francisco,2024-08,2024
B-25730,"$8,293","$2,632",8,Office Supplies,Binders,COD,1/5/2022,Justin Rodriguez,Ohio,Cleveland,2022-01,2022
B-25730,"$8,293","$2,632",8,Office Supplies,Binders,COD,10/17/2020,Ms. Emily Baxter,New York,Rochester,2020-10,2020
B-25730,"$8,293","$2,632",8,Office Supplies,Binders,COD,8/21/2023,Austin White,California,Los Angeles,2023-08,2023
B-25730,"$2,863",$205,17,Electronics,Phones,UPI,1/5/2022,Justin Rodriguez,Ohio,Cleveland,2022-01,2022
B-25730,"$2,863",$205,17,Electronics,Phones,UPI,10/17/2020,Ms. Emily Baxter,New York,Rochester,2020-10,2020
B-25730,"$2,863",$205,17,Electronics,Phones,UPI,8/21/2023,Austin White,California,Los Angeles,2023-08,2023
B-26470,"$3,090",$573,6,Furniture,Tables,EMI,12/27/2024,Morgan Montes,California,San Diego,2024-12,2024
B-26470,"$3,090",$573,6,Furniture,Tables,EMI,6/18/2021,Christine Mosley,Ohio,Cincinnati,2021-06,2021
B-26470,"$3,090",$573,6,Furniture,Tables,EMI,5/27/2023,Ashley Rodriguez,Texas,Austin,2023-05,2023
B-26470,"$3,090",$573,6,Furniture,Tables,EMI,10/12/2021,Elizabeth King,Texas,Dallas,2021-10,2021
B-26470,"$9,683","$1,014",5,Electronics,Printers,UPI,12/27/2024,Morgan Montes,California,San Diego,2024-12,2024
B-26470,"$9,683","$1,014",5,Electronics,Printers,UPI,6/18/2021,Christine Mosley,Ohio,Cincinnati,2021-06,2021
B-26470,"$9,683","$1,014",5,Electronics,Printers,UPI,5/27/2023,Ashley Rodriguez,Texas,Austin,2023-05,2023
B-26470,"$9,683","$1,014",5,Electronics,Printers,UPI,10/12/2021,Elizabeth King,Texas,Dallas,2021-10,2021
B-25988,"$2,463",$648,18,Furniture,Tables,EMI,9/19/2022,Connie Holmes,Ohio,Cincinnati,2022-09,2022
B-25568,"$7,811","$1,538",12,Furniture,Sofas,COD,3/25/2022,Melissa Peck,Florida,Miami,2022-03,2022
B-26730,"$6,139",$451,10,Furniture,Tables,Debit Card,2/26/2022,David Smith,Florida,Orlando,2022-02,2022
B-26730,"$6,139",$451,10,Furniture,Tables,Debit Card,4/5/2021,Jacqueline Harris,Texas,Houston,2021-04,2021
B-26730,"$8,636","$3,192",3,Furniture,Chairs,COD,2/26/2022,David Smith,Florida,Orlando,2022-02,2022
B-26730,"$8,636","$3,192",3,Furniture,Chairs,COD,4/5/2021,Jacqueline Harris,Texas,Houston,2021-04,2021
B-26730,"$4,439","$1,712",19,Furniture,Sofas,Credit Card,2/26/2022,David Smith,Florida,Orlando,2022-02,2022
B-26730,"$4,439","$1,712",19,Furniture,Sofas,Credit Card,4/5/2021,Jacqueline Harris,Texas,Houston,2021-04,2021
